id,name,surname,position,crosing,dribling,pass,shooting,tacking,Technique,Aggresion,Creativ,Decision,Leadership,Movment,Position,Teamwork,Pace,Stamina,Strength,Aero
1,Hugo,Shenton,dc,5,2,5,3,10,8,11,1,7,10,5,9,11,8,11,12,14
2,Smai,Colins,dc,1,2,2,1,4,7,8,2,8,13,2,7,10,6,12,10,12
3,Zain,Pearce,dc,1,1,4,1,7,7,10,3,6,13,2,8,12,5,9,12,12
4,Simon,Rhami,dr,5,3,5,2,10,8,12,3,10,13,1,10,12,6,8,10,9
5,Jian,Stringer,dl,7,7,10,4,10,12,11,7,8,11,5,8,14,8,12,8,9
6,Chris,Grimshaw,dr,4,5,7,3,9,8,7,5,9,10,7,6,10,10,10,12,13
7,Keegan,Freckleton,dl,8,6,7,6,6,11,9,5,7,5,6,10,10,11,11,10,8
8,Kelvin,Leather,aml,3,2,4,9,1,11,9,6,8,12,7,2,13,6,8,7,9
9,Jaden,Rachel,st,6,8,9,8,4,12,14,3,9,10,8,3,11,7,7,12,12
10,Khaidi,Lolos,st,7,9,7,15,5,10,6,8,8,6,9,6,12,11,12,11,10
12,Kasey,Alonzi,dmc,4,4,5,6,3,8,19,6,7,11,7,6,13,11,8,8,9
13,Kyran,Reilly,st,6,6,6,10,3,9,8,6,8,5,8,4,7,4,7,9,8
14,Akin,Neal,dmc,3,3,5,5,2,8,19,5,6,11,6,5,13,11,8,8,9
15,Lewis,Leggett,amr,5,8,8,6,4,10,5,6,8,7,10,3,11,10,6,6,9
17,Colin,Porter,dl,4,5,8,2,4,12,5,4,5,10,5,6,12,8,13,9,9
18,Zaki,Willson,mr,9,10,6,6,1,10,10,6,8,3,9,4,11,8,8,6,7
19,Nat,Sidwell,ml,5,9,7,5,1,11,6,1,4,5,7,1,9,11,7,5,4
20,Lewis,Miccio,dl,7,4,4,3,7,6,8,4,13,4,5,10,6,13,6,5,4
21,Latrel,Ewers,dc,8,3,7,4,9,10,6,4,12,6,5,8,8,10,6,5,5
22,Julian,Brinkman,dc,7,3,8,7,11,7,11,1,6,12,7,6,8,9,9,4,8
23,Kieran,Bowden,aml,7,7,10,6,3,13,10,6,6,12,10,4,10,9,9,8,9
24,John,Black,amc,2,9,11,8,4,14,13,8,12,2,10,5,9,11,9,7,5
25,Aaron,Bushell,mc,7,9,9,6,4,7,15,9,8,9,11,5,11,10,10,9,5
26,Lewis,Coyle,amc,3,9,10,8,4,10,8,5,13,12,8,4,6,12,12,3,3
27,Korey,Burland,st,3,2,6,9,4,8,11,3,9,11,6,4,12,6,10,14,13
